location,total_cases,population,infection_percentage
Cyprus,693899,896007,77.44347979424268
Brunei,346246,449002,77.1145785542158
"San Marino",25292,33690,75.07272187592757
Austria,6082390,8939617,68.03859717927513
"South Korea",34571873,51815808,66.72070615978815
"Faeroe Islands",34658,53117,65.24841387879586
Slovenia,1356134,2119843,63.97332255266074
Gibraltar,20550,32677,62.8882700370291
Martinique,230354,367512,62.67931387274429
Luxembourg,392477,647601,60.60475508839548
Andorra,48015,79843,60.1367684080007
Jersey,66391,110796,59.92183833351385
Denmark,3435679,5882259,58.40747576738801
"Saint Pierre and Miquelon",3426,5885,58.21580288870008
France,38997490,67813000,57.507395337177236
Iceland,210187,372903,56.365060082648846
Guernsey,35326,63329,55.78171138025233
Portugal,5657579,10270857,55.08380654116789
Niue,1074,1952,55.020491803278695
Liechtenstein,21583,39355,54.84182441875238
Greece,5651779,10384972,54.42266960373124
Singapore,3006155,5637022,53.32877891908174
Latvia,977765,1850654,52.83348481131536
Guadeloupe,203235,395762,51.352833268479536
Israel,4841558,9449000,51.2388400888983
Switzerland,4455787,8740471,50.978797366869586
Reunion,494595,974062,50.7765419449686
"New Zealand",2629816,5185289,50.71686457591853
"Falkland Islands",1923,3801,50.59194948697711
"Saint Barthelemy",5507,10994,50.09095870474805
Georgia,1863101,3744385,49.75719644213936
Lithuania,1367286,2750058,49.71844230194418
Netherlands,8637814,17564020,49.179026213816655
Seychelles,51790,107135,48.34087833107761
Bahrain,696614,1472237,47.31670240593056
Monaco,17181,36491,47.082842344687734
Germany,38437756,83369840,46.10510947364179
Estonia,610471,1326064,46.03631498932178
"Cayman Islands",31472,68722,45.79610605046419
Czechia,4760297,10493990,45.362126321828015
Australia,11861161,26177410,45.310674356248384
Italy,26727644,59037472,45.27233821936007
"Isle of Man",38008,84534,44.96179052215676
"Bonaire Sint Eustatius and Saba",11922,27052,44.070678692887775
"Cook Islands",7341,17032,43.10122123062471
Nauru,5393,12691,42.49468127019148
Belgium,4865822,11655923,41.74548853831653
Aruba,44224,106459,41.54087489080303
"Saint Helena",2166,5401,40.10368450286984
Montenegro,251280,627082,40.07131443734631
Barbados,110871,281646,39.36537355403591
"Marshall Islands",16252,41593,39.073882624480085
"Saint Martin (French part)",12324,31816,38.73522755846115
"Puerto Rico",1252713,3252412,38.51643026775206
Serbia,2583470,6871547,37.596628532119475
"United Kingdom",24956066,67508936,36.96705573910985
Maldives,186694,523798,35.64236595023272
Palau,6372,18084,35.23556735235567
Ireland,1741595,5023108,34.671661449445246
Slovakia,1877833,5643455,33.27452774940174
Croatia,1317144,4030361,32.68054648206451
"Wallis and Futuna",3760,11596,32.42497412901
"French Guiana",98041,304568,32.19018412965249
Montserrat,1403,4413,31.792431452526625
"United States",103436829,338289856,30.57639097519968
Guam,52287,171783,30.437819807547896
Uruguay,1041294,3422796,30.42232140039897
Mongolia,1011489,3398373,29.763919381421637
"Northern Mariana Islands",14750,49574,29.75349981845322
Spain,13980340,47558632,29.396009540392164
Bermuda,18860,64207,29.37374429579329
Norway,1509883,5434324,27.78419174123589
"New Caledonia",80163,289959,27.6463224110995
Chile,5400751,19603736,27.549600749571407
Japan,33803572,123951696,27.27156875691318
Finland,1499712,5540745,27.06697384557492
Sweden,2753254,10549349,26.098804769848833
Tuvalu,2943,11335,25.96382884869872
"French Polynesia",79333,306292,25.901100910242512
"United States Virgin Islands",25389,99479,25.521969460891242
Mauritius,327305,1299478,25.18742141075109
"Sint Maarten (Dutch part)",11051,44192,25.00678855901521
Anguilla,3904,15877,24.589028153933363
"British Virgin Islands",7557,31332,24.119111451551127
Curacao,45883,191173,24.00077416790028
"Costa Rica",1230653,5180836,23.753946274307854
Panama,1044655,4408582,23.6959412346192
"Micronesia (country)",26547,114178,23.250538632661282
Malta,122115,533293,22.89829418349763
Lebanon,1239904,5489744,22.58582549568796
Hungary,2230506,9967304,22.378227853790754
Argentina,10133228,45510324,22.26577863958956
Dominica,16047,72758,22.05530663294758
Greenland,11971,56494,21.189860870180905
Turkey,17004717,85341248,19.925554639182216
Bulgaria,1329487,6781955,19.603300228326493
Moldova,635867,3272993,19.427692023783734
Qatar,514524,2695131,19.09087164965265
"American Samoa",8359,44295,18.871204424878655
Romania,3531029,19659270,17.96113996094463
Belize,71408,405285,17.619206237585896
Brazil,37511921,215313504,17.422001083592047
"Saint Lucia",30257,179872,16.821406333392634
Russia,24244024,144713312,16.753140167229397
"North Macedonia",350640,2093606,16.748136946493275
Poland,6664935,39857144,16.722058660299393
Armenia,451944,2780472,16.254218708190553
Tonga,16970,106867,15.87955121786894
Grenada,19693,125459,15.696761491802103
Kuwait,667290,4268886,15.631478563728335
Malaysia,5302017,33938216,15.622556589303338
Jordan,1746997,11285875,15.479499817249437
Kosovo,274279,1782115,15.39064538483768
"Turks and Caicos Islands",6795,45726,14.860254559769059
Ukraine,5532404,39701744,13.934914294948857
