continent,year,month,total_cases,total_deaths
Africa,2020,January,0,0
Africa,2020,February,1,0
Africa,2020,March,4565,140
Africa,2020,April,26756,1625
Africa,2020,May,113256,2652
Africa,2020,June,234371,7537
Africa,2020,July,457877,8326
Africa,2020,August,406714,11710
Africa,2020,September,218213,5890
Africa,2020,October,259853,5203
Africa,2020,November,444833,8941
Africa,2020,December,496013,10613
Africa,2021,January,915267,27997
Africa,2021,February,345901,13062
Africa,2021,March,297086,8472
Africa,2021,April,328534,8122
Africa,2021,May,327255,10244
Africa,2021,June,570581,10814
Africa,2021,July,1065548,23199
Africa,2021,August,1315459,31034
Africa,2021,September,528692,14418
Africa,2021,October,245980,8686
Africa,2021,November,171636,4654
Africa,2021,December,860899,4419
Africa,2022,January,1433745,11437
Africa,2022,February,622855,10072
Africa,2022,March,218876,3285
Africa,2022,April,137405,1135
Africa,2022,May,275856,1259
Africa,2022,June,164874,975
Africa,2022,July,251232,1137
Africa,2022,August,84512,500
Africa,2022,September,45012,251
Africa,2022,October,37250,238
Africa,2022,November,47581,208
Africa,2022,December,40998,236
Africa,2023,January,41034,163
Africa,2023,February,17600,90
Africa,2023,March,18587,81
Africa,2023,April,10499,78
Africa,2023,May,10034,50
Africa,2023,June,9007,37
Africa,2023,July,4867,18
Africa,2023,August,3253,13
Africa,2023,September,3870,6
Africa,2023,October,3026,14
Africa,2023,November,4722,18
Africa,2023,December,12898,11
Africa,2024,January,5533,18
Africa,2024,February,1582,8
Africa,2024,March,918,4
Africa,2024,April,731,5
Africa,2024,May,470,0
Africa,2024,June,651,0
Africa,2024,July,0,0
Asia,2020,January,2012,56
Asia,2020,February,75958,2400
Asia,2020,March,77491,4021
Asia,2020,April,301908,10445
Asia,2020,May,648366,13312
Asia,2020,June,1058799,23642
Asia,2020,July,1617040,33489
Asia,2020,August,3286032,51195
Asia,2020,September,3476004,48345
Asia,2020,October,3064796,45487
Asia,2020,November,3610676,55773
Asia,2020,December,2971831,42347
Asia,2021,January,2736221,41146
Asia,2021,February,1899188,25101
Asia,2021,March,2900271,27284
Asia,2021,April,8736828,68043
Asia,2021,May,14258022,187575
Asia,2021,June,4438860,104747
Asia,2021,July,5045578,85759
Asia,2021,August,9136675,156996
Asia,2021,September,5719149,88086
Asia,2021,October,4290633,57643
Asia,2021,November,2634885,40442
Asia,2021,December,2203393,37800
Asia,2022,January,15325295,40289
Asia,2022,February,16848301,57051
Asia,2022,March,20528773,51798
Asia,2022,April,9670681,21732
Asia,2022,May,5132813,11571
Asia,2022,June,3343348,7042
Asia,2022,July,9317743,10219
Asia,2022,August,12103600,17064
Asia,2022,September,6417665,12941
Asia,2022,October,4463640,9008
Asia,2022,November,4815789,9742
Asia,2022,December,58654497,19196
Asia,2023,January,41787439,35501
Asia,2023,February,1716324,66467
Asia,2023,March,904736,3904
Asia,2023,April,1254928,3553
Asia,2023,May,937619,2119
Asia,2023,June,520379,1182
Asia,2023,July,950134,599
Asia,2023,August,1348246,1022
Asia,2023,September,444634,464
Asia,2023,October,115260,1716
Asia,2023,November,84483,272
Asia,2023,December,349550,405
Asia,2024,January,157245,492
Asia,2024,February,43187,191
Asia,2024,March,32381,256
Asia,2024,April,17531,109
Asia,2024,May,22444,125
Asia,2024,June,34345,102
Asia,2024,July,7522,21
Europe,2020,January,9,6
Europe,2020,February,195,9
Europe,2020,March,379147,29086
Europe,2020,April,722269,101950
Europe,2020,May,676614,47975
Europe,2020,June,422799,14464
Europe,2020,July,396882,9554
Europe,2020,August,854587,11683
Europe,2020,September,1320709,13800
Europe,2020,October,3602175,33342
Europe,2020,November,8559791,155541
Europe,2020,December,5680509,148223
Europe,2021,January,7499606,188615
Europe,2021,February,3760880,103723
Europe,2021,March,4903516,85542
Europe,2021,April,4805016,96941
Europe,2021,May,2973642,68869
Europe,2021,June,1218994,25980
Europe,2021,July,3046518,27264
Europe,2021,August,4318389,44474
Europe,2021,September,3366411,45924
Europe,2021,October,6102089,88313
Europe,2021,November,8577727,110440
Europe,2021,December,11319854,102689
Europe,2022,January,42085504,103497
Europe,2022,February,29759104,90857
Europe,2022,March,20323634,59564
Europe,2022,April,13390653,38675
Europe,2022,May,7085408,25480
Europe,2022,June,5569629,12389
Europe,2022,July,13286475,27663
Europe,2022,August,5213268,20420
Europe,2022,September,4887674,13970
Europe,2022,October,8284266,26146
Europe,2022,November,3440625,15639
Europe,2022,December,4223109,19663
Europe,2023,January,2133003,22201
Europe,2023,February,1451799,10462
Europe,2023,March,1468298,11333
Europe,2023,April,1169050,11834
Europe,2023,May,456525,6007
Europe,2023,June,222598,3441
Europe,2023,July,92810,1642
Europe,2023,August,139039,1680
Europe,2023,September,333505,2534
