continent,location,year,month,population,total_deaths,deaths_percentage
Africa,Algeria,2020,January,44903228,NULL,NULL
Africa,Algeria,2020,February,44903228,NULL,NULL
Africa,Algeria,2020,March,44903228,30,0.00006681034156386262
Africa,Algeria,2020,April,44903228,416,0.0009264367363522284
Africa,Algeria,2020,May,44903228,643,0.0014319683208521223
Africa,Algeria,2020,June,44903228,880,0.001959770019206637
Africa,Algeria,2020,July,44903228,1134,0.002525430911114007
Africa,Algeria,2020,August,44903228,1489,0.0033160199529530484
Africa,Algeria,2020,September,44903228,1709,0.0038059624577547074
Africa,Algeria,2020,October,44903228,1897,0.00422464059822158
Africa,Algeria,2020,November,44903228,2393,0.005329238245410776
Africa,Algeria,2020,December,44903228,2722,0.006061924991227802
Africa,Algeria,2021,January,44903228,2888,0.006431608881214509
Africa,Algeria,2021,February,44903228,2979,0.0066342669172915585
Africa,Algeria,2021,March,44903228,3077,0.006852514033066843
Africa,Algeria,2021,April,44903228,3198,0.007121982410707755
Africa,Algeria,2021,May,44903228,3460,0.007705459393698822
Africa,Algeria,2021,June,44903228,3685,0.008206536955427793
Africa,Algeria,2021,July,44903228,4042,0.009001580020037758
Africa,Algeria,2021,August,44903228,5179,0.011533691965308152
Africa,Algeria,2021,September,44903228,5767,0.012843174659959858
Africa,Algeria,2021,October,44903228,5918,0.013179453379164634
Africa,Algeria,2021,November,44903228,6052,0.013477872904816553
Africa,Algeria,2021,December,44903228,6229,0.013872053920043344
Africa,Algeria,2022,January,44903228,6555,0.014598059631703984
Africa,Algeria,2022,February,44903228,6828,0.015206033739935133
Africa,Algeria,2022,March,44903228,6873,0.015306249252280928
Africa,Algeria,2022,April,44903228,6874,0.015308476263666389
Africa,Algeria,2022,May,44903228,6875,0.015310703275051851
Africa,Algeria,2022,June,44903228,6875,0.015310703275051851
Africa,Algeria,2022,July,44903228,6876,0.015312930286437312
Africa,Algeria,2022,August,44903228,6878,0.015317384309208239
Africa,Algeria,2022,September,44903228,6879,0.015319611320593701
Africa,Algeria,2022,October,44903228,6881,0.015324065343364624
Africa,Algeria,2022,November,44903228,6881,0.015324065343364624
Africa,Algeria,2022,December,44903228,6881,0.015324065343364624
Africa,Algeria,2023,January,44903228,6881,0.015324065343364624
Africa,Algeria,2023,February,44903228,6881,0.015324065343364624
Africa,Algeria,2023,March,44903228,6881,0.015324065343364624
Africa,Algeria,2023,April,44903228,6881,0.015324065343364624
Africa,Algeria,2023,May,44903228,6881,0.015324065343364624
Africa,Algeria,2023,June,44903228,6881,0.015324065343364624
Africa,Algeria,2023,July,44903228,6881,0.015324065343364624
Africa,Algeria,2023,August,44903228,6881,0.015324065343364624
Africa,Algeria,2023,September,44903228,6881,0.015324065343364624
Africa,Algeria,2023,October,44903228,6881,0.015324065343364624
Africa,Algeria,2023,November,44903228,6881,0.015324065343364624
Africa,Algeria,2023,December,44903228,6881,0.015324065343364624
Africa,Algeria,2024,January,44903228,6881,0.015324065343364624
Africa,Algeria,2024,February,44903228,6881,0.015324065343364624
Africa,Algeria,2024,March,44903228,6881,0.015324065343364624
Africa,Algeria,2024,April,44903228,6881,0.015324065343364624
Africa,Algeria,2024,May,44903228,6881,0.015324065343364624
Africa,Algeria,2024,June,44903228,6881,0.015324065343364624
Africa,Algeria,2024,July,44903228,6881,0.015324065343364624
Africa,Angola,2020,January,35588996,NULL,NULL
Africa,Angola,2020,February,35588996,NULL,NULL
Africa,Angola,2020,March,35588996,NULL,NULL
Africa,Angola,2020,April,35588996,NULL,NULL
Africa,Angola,2020,May,35588996,4,0.000011239429176366763
Africa,Angola,2020,June,35588996,10,0.000028098572940916906
Africa,Angola,2020,July,35588996,39,0.00010958443446957593
Africa,Angola,2020,August,35588996,107,0.0003006547304678109
Africa,Angola,2020,September,35588996,169,0.00047486588270149565
Africa,Angola,2020,October,35588996,270,0.0007586614694047565
Africa,Angola,2020,November,35588996,345,0.0009694007664616333
Africa,Angola,2020,December,35588996,400,0.0011239429176366762
Africa,Angola,2021,January,35588996,464,0.0013037737844585444
Africa,Angola,2021,February,35588996,506,0.0014217877908103953
Africa,Angola,2021,March,35588996,533,0.0014976539377508711
Africa,Angola,2021,April,35588996,577,0.0016212876586909053
Africa,Angola,2021,May,35588996,757,0.0021270619716274096
Africa,Angola,2021,June,35588996,887,0.0024923434198593293
Africa,Angola,2021,July,35588996,982,0.00275927986279804
Africa,Angola,2021,August,35588996,1192,0.003349349894557295
Africa,Angola,2021,September,35588996,1487,0.004178257796314344
Africa,Angola,2021,October,35588996,1708,0.004799236258308608
Africa,Angola,2021,November,35588996,1733,0.0048694826906609
Africa,Angola,2021,December,35588996,1746,0.004906010835484091
Africa,Angola,2022,January,35588996,1894,0.0053218697150096625
Africa,Angola,2022,February,35588996,1899,0.0053359190014801204
Africa,Angola,2022,March,35588996,1900,0.0053387288587742115
Africa,Angola,2022,April,35588996,1900,0.0053387288587742115
Africa,Angola,2022,May,35588996,1900,0.0053387288587742115
Africa,Angola,2022,June,35588996,1900,0.0053387288587742115
Africa,Angola,2022,July,35588996,1916,0.005383686575479679
Africa,Angola,2022,August,35588996,1917,0.005386496432773771
Africa,Angola,2022,September,35588996,1917,0.005386496432773771
Africa,Angola,2022,October,35588996,1917,0.005386496432773771
Africa,Angola,2022,November,35588996,1924,0.005406165433832413
Africa,Angola,2022,December,35588996,1929,0.005420214720302871
Africa,Angola,2023,January,35588996,1931,0.005425834434891055
Africa,Angola,2023,February,35588996,1933,0.005431454149479238
Africa,Angola,2023,March,35588996,1933,0.005431454149479238
Africa,Angola,2023,April,35588996,1934,0.00543426400677333
Africa,Angola,2023,May,35588996,1936,0.005439883721361513
Africa,Angola,2023,June,35588996,1936,0.005439883721361513
Africa,Angola,2023,July,35588996,1936,0.005439883721361513
Africa,Angola,2023,August,35588996,1936,0.005439883721361513
Africa,Angola,2023,September,35588996,1936,0.005439883721361513
Africa,Angola,2023,October,35588996,1936,0.005439883721361513
Africa,Angola,2023,November,35588996,1936,0.005439883721361513
Africa,Angola,2023,December,35588996,1937,0.005442693578655605
