location,year,month,population,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations,new_vaccination
Afghanistan,2021,2,41128772,8200,0,0,8200,8200
Afghanistan,2021,3,41128772,54000,0,0,54000,45800
Afghanistan,2021,4,41128772,240000,0,0,240000,186000
Afghanistan,2021,5,41128772,480226,119926,0,600152,360152
Afghanistan,2021,6,41128772,699200,187654,0,886854,286702
Afghanistan,2021,7,41128772,742934,219159,0,1171064,284210
Afghanistan,2021,8,41128772,773002,430744,0,1979652,808588
Afghanistan,2021,9,41128772,828601,0,0,2369625,389973
Afghanistan,2021,11,41128772,3530173,3188609,0,4018197,1648572
Afghanistan,2021,12,41128772,4142857,3753224,0,4674518,656321
Afghanistan,2022,1,41128772,4554648,3892831,0,5125146,450628
Afghanistan,2022,2,41128772,4907058,4231984,0,5535254,410108
Afghanistan,2022,3,41128772,5082824,4420127,0,5751015,215761
Afghanistan,2022,4,41128772,5287027,4637327,0,5986139,235124
Afghanistan,2022,5,41128772,5407462,4758426,0,6118557,132418
Afghanistan,2022,6,41128772,5713284,5064430,0,6445359,326802
Afghanistan,2022,7,41128772,7294709,6571487,0,8040605,1595246
Afghanistan,2022,8,41128772,10730669,9939590,0,11562525,3521920
Afghanistan,2022,9,41128772,10929549,10245183,0,11881035,318510
Afghanistan,2022,10,41128772,11084618,10386823,0,12055358,174323
Afghanistan,2022,11,41128772,11292816,10587076,0,12275911,220553
Afghanistan,2022,12,41128772,11459692,10754839,0,12449870,173959
Afghanistan,2023,1,41128772,11684678,10967235,0,12684950,235080
Afghanistan,2023,2,41128772,13441995,12723156,639602,15093798,2408848
Afghanistan,2023,3,41128772,14457250,13743213,1016263,16499153,1405355
Afghanistan,2023,4,41128772,14778598,14064253,1088148,16902291,403138
Afghanistan,2023,5,41128772,15875256,15168758,1511837,18434710,1532419
Afghanistan,2023,6,41128772,17283424,16556475,2062362,20393575,1958865
Afghanistan,2023,7,41128772,17534742,16787563,2138723,20729987,336412
Afghanistan,2023,8,41128772,17820309,17047177,2230555,21120112,390125
Afghanistan,2023,9,41128772,18257599,17479727,2380699,21716120,596008
Afghanistan,2023,10,41128772,18526070,17744854,2476218,22085051,368931
Afghanistan,2023,11,41128772,18896999,18115861,2626670,22606931,521880
Afghanistan,2023,12,41128772,19151369,18370386,2729940,22964750,357819
Albania,2021,1,2842318,549,0,0,549,549
Albania,2021,2,2842318,6073,655,0,10135,9586
Albania,2021,3,2842318,0,0,0,138846,128711
Albania,2021,4,2842318,0,0,0,476903,338057
Albania,2021,5,2842318,486128,290333,0,776461,299558
Albania,2021,6,2842318,564530,403504,0,968034,191573
Albania,2021,7,2842318,670215,528718,0,1198933,230899
Albania,2021,8,2842318,830396,641920,0,1472316,273383
Albania,2021,9,2842318,946495,794878,0,1741373,269057
Albania,2021,10,2842318,1013959,887865,0,1901824,160451
Albania,2021,11,2842318,1072645,961013,67381,2101039,199215
Albania,2021,12,2842318,1141486,1031132,143988,2316606,215567
Albania,2022,1,2842318,1210040,1111520,202123,2523683,207077
Albania,2022,2,2842318,1269746,1196277,236615,2702638,178955
Albania,2022,3,2842318,1281331,1218665,266894,2766890,64252
Albania,2022,4,2842318,1288846,1226046,290925,2801345,34455
Albania,2022,5,2842318,1320244,1241712,310249,2873654,72309
Albania,2022,6,2842318,1326545,1248781,324545,2906126,32472
Albania,2022,7,2842318,1331453,1255342,341320,2940709,34583
Albania,2022,8,2842318,1334091,1258792,348385,2956198,15489
Albania,2022,9,2842318,1337562,1263870,357344,2978248,22050
Albania,2022,10,2842318,1339532,1266511,365389,2996383,18135
Albania,2022,11,2842318,1341413,1269112,373263,3017443,21060
Albania,2022,12,2842318,1342243,1270016,377057,3025728,8285
Albania,2023,1,2842318,1344582,1273313,385638,3047340,21612
Albania,2023,2,2842318,1345763,1274719,390033,3058102,10762
Albania,2023,3,2842318,1347054,1276432,395384,3070468,12366
Albania,2023,4,2842318,1347760,1277204,397368,3075848,5380
Albania,2023,5,2842318,1348396,1277987,399190,3080679,4831
Albania,2023,7,2842318,1349150,1279231,401767,3087677,6998
Albania,2023,9,2842318,1349255,1279333,402371,3088966,1289
Algeria,2021,1,44903228,30,0,0,30,30
Algeria,2021,2,44903228,75000,0,0,75000,74970
Algeria,2021,8,44903228,3421279,724812,0,4146091,4071091
Algeria,2021,9,44903228,6017036,4032942,0,10049978,5903887
Algeria,2021,10,44903228,6364327,4815027,0,11179354,1129376
Algeria,2021,11,44903228,6875003,5391232,25381,12293060,1113706
Algeria,2021,12,44903228,7060737,5609040,0,12545356,252296
Algeria,2022,1,44903228,7247787,5796432,0,12974545,429189
Algeria,2022,2,44903228,7456361,6076272,428324,13631683,657138
Algeria,2022,3,44903228,7461932,6110712,490676,13704895,73212
Algeria,2022,4,44903228,7840131,6481186,514063,13772044,67149
Algeria,2022,5,44903228,7840131,6481186,514063,15205854,1433810
Algeria,2022,9,44903228,7840131,6481186,575651,15267442,61588
Andorra,2021,1,79843,576,0,0,576,576
Andorra,2021,2,79843,2390,0,0,2526,1950
Andorra,2021,3,79843,7098,1265,0,9288,6762
Andorra,2021,4,79843,23822,4681,0,28503,19215
Andorra,2021,5,79843,27613,8303,0,35916,7413
Andorra,2021,6,79843,41716,26613,0,68329,32413
Andorra,2021,7,79843,48445,33904,0,82349,14020
Andorra,2021,8,79843,52910,43008,0,95918,13569
Andorra,2021,9,79843,54312,47720,0,102032,6114
Andorra,2021,10,79843,54999,49535,0,104534,2502
Andorra,2021,12,79843,57085,51392,8769,117246,12712
Andorra,2022,1,79843,57709,53104,24732,140193,22947
Andorra,2022,2,79843,57805,53301,0,151284,11091
Andorra,2022,3,79843,57835,53389,40963,152187,903
Andorra,2022,4,79843,57866,53414,41183,152463,276
Andorra,2022,5,79843,57880,53450,41742,153072,609
Andorra,2022,6,79843,57886,53456,42041,153383,311
Andorra,2022,7,79843,57888,53460,42183,153531,148
Andorra,2022,8,79843,57892,53474,42711,154077,546
Andorra,2022,9,79843,57894,53478,42844,154216,139
Andorra,2022,10,79843,57898,53482,42940,154320,104
Andorra,2022,11,79843,57901,53485,42981,154367,47
Andorra,2022,12,79843,57901,53489,43020,156242,1875
Andorra,2023,1,79843,57903,53492,43049,156766,524
Andorra,2023,2,79843,57904,53492,43060,156957,191
Andorra,2023,4,79843,57910,53496,43067,157038,81
Andorra,2023,5,79843,57912,53500,43068,157059,21
Andorra,2023,8,79843,57912,53501,43070,157062,3
Andorra,2023,9,79843,57913,53501,43071,157072,10
Angola,2021,3,35588996,130750,0,0,130750,130750
Angola,2021,4,35588996,456349,0,0,456349,325599
Angola,2021,5,35588996,679034,230181,0,909215,452866
Angola,2021,6,35588996,943301,544991,0,1488292,579077
Angola,2021,7,35588996,958373,634164,0,1592537,104245
Angola,2021,8,35588996,1110558,731010,0,1841568,249031
Angola,2021,9,35588996,2127405,1006732,0,3134137,1292569
Angola,2021,10,35588996,4498272,1665947,0,6164219,3030082
Angola,2021,11,35588996,6266044,2760266,0,9026310,2862091
Angola,2021,12,35588996,7685417,3929727,0,11615144,2588834
Angola,2022,1,35588996,9713546,4731866,0,14588435,2973291
Angola,2022,2,35588996,10591264,5448403,138204,16259606,1671171
Angola,2022,3,35588996,11235059,5993792,306560,17535411,1275805
Angola,2022,4,35588996,12059919,6327907,369899,17896626,361215
Angola,2022,5,35588996,12337467,6555241,444914,18956333,1059707
Angola,2022,6,35588996,13153694,7127231,737233,20397115,1440782
Angola,2022,7,35588996,13639803,7478983,944797,21323036,925921
Angola,2022,8,35588996,14195788,7795780,1115824,22226535,903499
Angola,2022,9,35588996,14220830,7814121,0,22297104,70569
Angola,2022,10,35588996,14220830,7814121,1127156,22990789,693685
Angola,2022,11,35588996,14220830,7814121,1127156,23335624,344835
Angola,2022,12,35588996,14990131,8253873,1457126,23701049,365425
Angola,2023,1,35588996,15079129,8306664,1526098,23893345,192296
Angola,2023,2,35588996,15349780,8504173,1736921,24502287,608942
Angola,2023,3,35588996,15510800,8631439,1863724,24867841,365554
Angola,2023,4,35588996,15708883,8787086,2003851,25316586,448745
Angola,2023,5,35588996,15745756,8821410,2026768,25552936,236350
Angola,2023,6,35588996,15980639,9010599,2220003,25962530,409594
Angola,2023,7,35588996,16177587,9209276,2437087,26521660,559130
Angola,2023,8,35588996,16307216,9369882,2624931,26953525,431865
Angola,2023,9,35588996,16406741,9472763,2816195,27309449,355924
Angola,2023,10,35588996,16490814,9574047,2985931,27639026,329577
Angola,2023,11,35588996,16522932,9591203,3014421,27722924,83898
Angola,2023,12,35588996,16550642,9609080,3067091,27819132,96208
Anguilla,2021,2,15877,3929,0,0,3929,3929
Anguilla,2021,3,15877,5348,0,0,5348,1419
Anguilla,2021,4,15877,6115,783,0,6898,1550
Anguilla,2021,5,15877,9004,5439,0,14443,7545
Anguilla,2021,6,15877,9264,6525,0,15789,1346
Anguilla,2021,7,15877,9428,8765,0,18193,2404
Anguilla,2021,8,15877,9493,8965,0,18458,265
Anguilla,2021,9,15877,9498,9086,0,18584,126
Anguilla,2021,10,15877,9548,9156,0,18705,121
Anguilla,2021,11,15877,9911,9156,663,19730,1025
Anguilla,2021,12,15877,10079,9223,982,20284,554
Anguilla,2022,1,15877,10193,9336,1920,21449,1165
Anguilla,2022,2,15877,10370,9531,2264,22165,716
Anguilla,2022,3,15877,10572,9624,2518,22714,549
Anguilla,2022,4,15877,10622,9874,2630,23126,412
Anguilla,2022,5,15877,10746,10054,2801,23601,475
Anguilla,2022,6,15877,10813,10183,2930,23926,325
Anguilla,2022,7,15877,10837,10273,0,24060,134
Anguilla,2022,8,15877,10846,10314,2942,24102,42
Anguilla,2022,9,15877,10850,10342,2953,24408,306
Anguilla,2022,10,15877,10852,10366,2998,24434,26
Anguilla,2022,12,15877,10852,10373,2998,24441,7
Anguilla,2023,1,15877,10853,10377,3003,24474,33
Anguilla,2023,2,15877,10854,10380,3255,24489,15
Anguilla,2023,3,15877,10854,10380,3309,24604,115
"Antigua and Barbuda",2021,2,93772,0,0,0,0,0
"Antigua and Barbuda",2021,3,93772,26836,0,0,26836,26836
"Antigua and Barbuda",2021,4,93772,29754,0,0,29754,2918
"Antigua and Barbuda",2021,5,93772,33463,16866,0,50329,20575
"Antigua and Barbuda",2021,6,93772,36432,27563,0,63995,13666
"Antigua and Barbuda",2021,7,93772,38146,30704,0,68850,4855
"Antigua and Barbuda",2021,8,93772,41061,34008,0,75069,6219
"Antigua and Barbuda",2021,9,93772,51148,42170,0,93318,18249
"Antigua and Barbuda",2021,10,93772,56269,50118,0,106387,13069
"Antigua and Barbuda",2021,11,93772,61418,56219,0,117637,11250
"Antigua and Barbuda",2021,12,93772,62283,58863,0,121146,3509
"Antigua and Barbuda",2022,1,93772,63197,60358,0,123555,2409
"Antigua and Barbuda",2022,2,93772,63582,61144,0,124726,1171
"Antigua and Barbuda",2022,3,93772,63918,61687,0,125605,879
"Antigua and Barbuda",2022,5,93772,63995,61882,0,125877,272
"Antigua and Barbuda",2022,6,93772,64091,62031,0,126122,245
"Antigua and Barbuda",2022,8,93772,64091,0,0,128267,2145
"Antigua and Barbuda",2022,9,93772,64290,62384,9838,136512,8245
Argentina,2020,12,45510324,43395,7,1,43403,43403
Argentina,2021,1,45510324,287307,102576,63,389946,346543
Argentina,2021,2,45510324,966869,308057,75,1274999,885053
Argentina,2021,3,45510324,3569267,709482,104,4278854,3003855
Argentina,2021,4,45510324,7323138,1018475,143,8341756,4062902
Argentina,2021,5,45510324,10023476,2998325,224,13022025,4680269
Argentina,2021,6,45510324,17544891,4317023,431,21862344,8840319
Argentina,2021,7,45510324,25775863,7372712,661,33149440,11287096
Argentina,2021,8,45510324,28611692,13804175,1341,44095558,10946118
Argentina,2021,9,45510324,30139451,20653263,2531,53109833,9014275
Argentina,2021,10,45510324,35090091,23979858,63411,61616736,8506903
Argentina,2021,11,45510324,37393703,27857366,2228831,70040309,8423573
Argentina,2021,12,45510324,38825075,30780137,6183044,78305677,8265368
Argentina,2022,1,45510324,40247794,32696140,13495067,88946988,10641311
Argentina,2022,2,45510324,40843784,33764979,17225985,94426676,5479688
Argentina,2022,3,45510324,41037802,34209888,19460472,97346145,2919469
Argentina,2022,4,45510324,41116038,34419650,21229403,99416360,2070215
Argentina,2022,5,45510324,41181884,34581576,25179900,103620702,4204342
Argentina,2022,6,45510324,41222217,34644047,27907565,106484802,2864100
Argentina,2022,7,45510324,41253250,34683114,29568714,108247335,1762533
Argentina,2022,8,45510324,41314378,34714108,30502814,109297605,1050270
Argentina,2022,9,45510324,41352310,34743724,30967326,109845272,547667
Argentina,2022,10,45510324,41379225,34767630,31195448,110134806,289534
Argentina,2022,11,45510324,41401568,34787181,31777510,110768199,633393
Argentina,2022,12,45510324,41429680,34804669,33885003,112937078,2168879
Argentina,2023,1,45510324,41465689,34835737,35374706,114506394,1569316
Argentina,2023,2,45510324,41484495,34861799,35864803,115041434,535040
Argentina,2023,3,45510324,41492292,34874236,36134792,115331430,289996
Argentina,2023,4,45510324,41496482,34881136,36374832,115582284,250854
Argentina,2023,5,45510324,41500301,34886987,36563497,115780399,198115
Argentina,2023,6,45510324,41503493,34891565,36688372,115912836,132437
Argentina,2023,7,45510324,41506053,34895265,36793291,116023946,111110
Argentina,2023,8,45510324,41508379,34898261,36904334,116140459,116513
Argentina,2023,9,45510324,41512976,34899666,37122830,116366018,225559
Argentina,2023,10,45510324,41517285,34900331,37311391,116560904,194886
Argentina,2023,11,45510324,41521146,34900613,37400929,116655956,95052
Argentina,2023,12,45510324,41523450,34900613,37459362,116717853,61897
Argentina,2024,1,45510324,41529058,34900613,37713094,116978521,260668
Armenia,2021,3,2780472,565,0,0,565,565
Armenia,2021,5,2780472,33529,0,0,33529,32964
Armenia,2021,6,2780472,58518,16196,0,74714,41185
Armenia,2021,7,2780472,108674,43855,0,152529,77815
Armenia,2021,8,2780472,176552,98586,0,275138,122609
Armenia,2021,9,2780472,264695,143840,0,408535,133397
Armenia,2021,10,2780472,579360,252496,0,831856,423321
Armenia,2021,11,2780472,799403,436861,0,1236264,404408
Armenia,2021,12,2780472,934028,692082,628,1626738,390474
Armenia,2022,1,2780472,1032249,842213,8951,1883413,256675
Armenia,2022,2,2780472,1100694,919397,18849,2042616,159203
Armenia,2022,3,2780472,1118674,959116,33978,2107032,64416
Armenia,2022,4,2780472,0,984868,40460,2149195,42163
Armenia,2022,5,2780472,0,985807,40725,2150112,917
Armenia,2023,3,2780472,0,986762,41824,2153341,3229
Armenia,2023,4,2780472,1120934,995131,44102,2154067,726
Armenia,2023,5,2780472,1122040,996169,44890,2156999,2932
Armenia,2023,6,2780472,1122646,996804,45446,2158796,1797
Armenia,2023,9,2780472,1124306,998071,47379,2163656,4860
Armenia,2023,10,2780472,1150915,1030758,81354,2256919,93263
Aruba,2021,3,106459,15600,10166,0,25766,25766
Aruba,2021,4,106459,54306,22559,0,76865,51099
Aruba,2021,5,106459,63113,51041,0,114154,37289
Aruba,2021,6,106459,67827,59429,0,127256,13102
Aruba,2021,7,106459,72793,65716,0,138509,11253
Aruba,2021,8,106459,78669,69556,0,148225,9716
Aruba,2021,9,106459,81374,74805,0,156179,7954
Aruba,2021,10,106459,82650,76756,0,159406,3227
Aruba,2021,11,106459,83640,78003,0,161643,2237
Aruba,2021,12,106459,84751,79008,0,163759,2116
Aruba,2022,1,106459,86627,79813,0,166440,2681
Aruba,2022,2,106459,87378,80442,0,167820,1380
Aruba,2022,3,106459,87919,81422,0,169341,1521
Aruba,2022,4,106459,88386,81937,0,170323,982
Aruba,2022,5,106459,88814,82345,0,171159,836
Aruba,2022,6,106459,89179,82835,0,172014,855
Aruba,2022,7,106459,89464,83204,0,172668,654
Aruba,2022,8,106459,89681,83439,0,173120,452
Aruba,2022,9,106459,89825,83617,0,173442,322
Aruba,2022,10,106459,89977,83777,0,173754,312
Aruba,2022,11,106459,90080,83904,0,173984,230
Aruba,2022,12,106459,90149,83989,0,174138,154
