iso_code,continent,location,date,population,total_boosters
DZA,Africa,Algeria,2021-11-21,44903228,13167
DZA,Africa,Algeria,2021-11-25,44903228,20340
DZA,Africa,Algeria,2021-11-29,44903228,25381
DZA,Africa,Algeria,2022-02-17,44903228,373991
DZA,Africa,Algeria,2022-02-24,44903228,428324
DZA,Africa,Algeria,2022-03-04,44903228,436274
DZA,Africa,Algeria,2022-03-09,44903228,490676
DZA,Africa,Algeria,2022-04-24,44903228,514063
DZA,Africa,Algeria,2022-05-01,44903228,514063
DZA,Africa,Algeria,2022-05-29,44903228,514063
DZA,Africa,Algeria,2022-09-04,44903228,575651
AGO,Africa,Angola,2022-02-17,35588996,138204
AGO,Africa,Angola,2022-03-04,35588996,227810
AGO,Africa,Angola,2022-03-10,35588996,258168
AGO,Africa,Angola,2022-03-24,35588996,296060
AGO,Africa,Angola,2022-03-25,35588996,306560
AGO,Africa,Angola,2022-04-01,35588996,333230
AGO,Africa,Angola,2022-04-26,35588996,369899
AGO,Africa,Angola,2022-05-22,35588996,431381
AGO,Africa,Angola,2022-05-29,35588996,444914
AGO,Africa,Angola,2022-06-05,35588996,512820
AGO,Africa,Angola,2022-06-26,35588996,737233
AGO,Africa,Angola,2022-07-03,35588996,808939
AGO,Africa,Angola,2022-07-17,35588996,906537
AGO,Africa,Angola,2022-07-24,35588996,944797
AGO,Africa,Angola,2022-08-07,35588996,1027838
AGO,Africa,Angola,2022-08-14,35588996,1066507
AGO,Africa,Angola,2022-08-28,35588996,1115824
AGO,Africa,Angola,2022-10-02,35588996,1127156
AGO,Africa,Angola,2022-10-09,35588996,1127156
AGO,Africa,Angola,2022-10-16,35588996,1127156
AGO,Africa,Angola,2022-10-23,35588996,1127156
AGO,Africa,Angola,2022-10-30,35588996,1127156
AGO,Africa,Angola,2022-11-13,35588996,1127156
AGO,Africa,Angola,2022-11-20,35588996,1127156
AGO,Africa,Angola,2022-11-27,35588996,1127156
AGO,Africa,Angola,2022-12-04,35588996,1368465
AGO,Africa,Angola,2022-12-18,35588996,1457126
AGO,Africa,Angola,2023-01-01,35588996,1526098
AGO,Africa,Angola,2023-02-19,35588996,1620863
AGO,Africa,Angola,2023-02-26,35588996,1736921
AGO,Africa,Angola,2023-03-05,35588996,1736921
AGO,Africa,Angola,2023-03-12,35588996,1806476
AGO,Africa,Angola,2023-03-19,35588996,1842388
AGO,Africa,Angola,2023-03-26,35588996,1863724
AGO,Africa,Angola,2023-04-02,35588996,1891619
AGO,Africa,Angola,2023-04-09,35588996,1918963
AGO,Africa,Angola,2023-04-16,35588996,1945965
AGO,Africa,Angola,2023-04-23,35588996,1974757
AGO,Africa,Angola,2023-04-30,35588996,2003851
AGO,Africa,Angola,2023-05-07,35588996,2026768
