continent,location,year,month,total_cases,population,infection_percentage
Africa,Algeria,2020,January,NULL,44903228,NULL
Africa,Algeria,2020,February,NULL,44903228,NULL
Africa,Algeria,2020,March,454,44903228,0.0010110631689997879
Africa,Algeria,2020,April,3256,44903228,0.007251149071064556
Africa,Algeria,2020,May,9267,44903228,0.020637714509077164
Africa,Algeria,2020,June,12968,44903228,0.028879883646672353
Africa,Algeria,2020,July,26764,44903228,0.05960373272050731
Africa,Algeria,2020,August,43782,44903228,0.09750301247830112
Africa,Algeria,2020,September,50914,44903228,0.11338605767941673
Africa,Algeria,2020,October,55630,44903228,0.12388864337325592
Africa,Algeria,2020,November,81212,44903228,0.18086004863614705
Africa,Algeria,2020,December,97857,44903228,0.21792865314716348
Africa,Algeria,2021,January,107122,44903228,0.23856191363346974
Africa,Algeria,2021,February,112960,44903228,0.2515632061017974
Africa,Algeria,2021,March,116750,44903228,0.26000357925269874
Africa,Algeria,2021,April,120736,44903228,0.2688804466351506
Africa,Algeria,2021,May,128456,44903228,0.2860729745309179
Africa,Algeria,2021,June,138113,44903228,0.3075792234803253
Africa,Algeria,2021,July,160868,44903228,0.3582548675565151
Africa,Algeria,2021,August,194671,44903228,0.43353453341929
Africa,Algeria,2021,September,202574,44903228,0.4511346043985969
Africa,Algeria,2021,October,206358,44903228,0.45956161548118546
Africa,Algeria,2021,November,209980,44903228,0.46762785071932916
Africa,Algeria,2021,December,216376,44903228,0.4818718155407446
Africa,Algeria,2022,January,249310,44903228,0.5552162085095531
Africa,Algeria,2022,February,264778,44903228,0.5896636206198805
Africa,Algeria,2022,March,265621,44903228,0.5915409912178251
Africa,Algeria,2022,April,265761,44903228,0.5918527728117898
Africa,Algeria,2022,May,265873,44903228,0.5921021980869616
Africa,Algeria,2022,June,266030,44903228,0.5924518388744792
Africa,Algeria,2022,July,267374,44903228,0.5954449421765402
Africa,Algeria,2022,August,270175,44903228,0.6016828010672195
Africa,Algeria,2022,September,270643,44903228,0.6027250423956158
Africa,Algeria,2022,October,270836,44903228,0.60315485559301
Africa,Algeria,2022,November,271061,44903228,0.6036559331547389
Africa,Algeria,2022,December,271194,44903228,0.6039521256690054
Africa,Algeria,2023,January,271369,44903228,0.6043418526614612
Africa,Algeria,2023,February,271439,44903228,0.6044977434584435
Africa,Algeria,2023,March,271568,44903228,0.6047850279271682
Africa,Algeria,2023,April,271712,44903228,0.6051057175666748
Africa,Algeria,2023,May,271835,44903228,0.6053796399670865
Africa,Algeria,2023,June,271847,44903228,0.6054063641037121
Africa,Algeria,2023,July,271852,44903228,0.6054174991606394
Africa,Algeria,2023,August,271871,44903228,0.6054598123769632
Africa,Algeria,2023,September,271895,44903228,0.6055132606502143
Africa,Algeria,2023,October,271940,44903228,0.60561347616256
Africa,Algeria,2023,November,271991,44903228,0.6057270537432187
Africa,Algeria,2023,December,272010,44903228,0.6057693669595424
Africa,Algeria,2024,January,272010,44903228,0.6057693669595424
Africa,Algeria,2024,February,272010,44903228,0.6057693669595424
Africa,Algeria,2024,March,272017,44903228,0.6057849560392407
Africa,Algeria,2024,April,272027,44903228,0.6058072261530952
Africa,Algeria,2024,May,272032,44903228,0.6058183612100225
Africa,Algeria,2024,June,272037,44903228,0.6058294962669499
Africa,Algeria,2024,July,272037,44903228,0.6058294962669499
Africa,Angola,2020,January,NULL,35588996,NULL
Africa,Angola,2020,February,NULL,35588996,NULL
Africa,Angola,2020,March,NULL,35588996,NULL
Africa,Angola,2020,April,25,35588996,0.00007024643235229226
Africa,Angola,2020,May,84,35588996,0.00023602801270370202
Africa,Angola,2020,June,259,35588996,0.0007277530391697478
Africa,Angola,2020,July,916,35588996,0.0025738292813879886
Africa,Angola,2020,August,2551,35588996,0.007167945957227902
Africa,Angola,2020,September,4672,35588996,0.013127653277996377
Africa,Angola,2020,October,9026,35588996,0.0253617719364716
Africa,Angola,2020,November,15087,35588996,0.04239231699596134
Africa,Angola,2020,December,17149,35588996,0.0481862427363784
Africa,Angola,2021,January,19782,35588996,0.05558459699172183
Africa,Angola,2021,February,20782,35588996,0.05839445428581352
Africa,Angola,2021,March,22031,35588996,0.06190396604613404
Africa,Angola,2021,April,25492,35588996,0.07162888214098538
Africa,Angola,2021,May,34180,35588996,0.09604092231205398
Africa,Angola,2021,June,38528,35588996,0.10825818182676465
Africa,Angola,2021,July,41736,35588996,0.1172722040262108
Africa,Angola,2021,August,47079,35588996,0.1322852715485427
Africa,Angola,2021,September,54795,35588996,0.15396613042975418
Africa,Angola,2021,October,64374,35588996,0.1808817534498585
Africa,Angola,2021,November,65139,35588996,0.18303129427983864
Africa,Angola,2021,December,71142,35588996,0.19989886761627107
Africa,Angola,2022,January,98057,35588996,0.2755261766867489
Africa,Angola,2022,February,98701,35588996,0.2773357247841439
Africa,Angola,2022,March,99106,35588996,0.27847371698825113
Africa,Angola,2022,April,99318,35588996,0.2790694067345985
Africa,Angola,2022,May,99761,35588996,0.2803141735158811
Africa,Angola,2022,June,101257,35588996,0.2845177200278423
Africa,Angola,2022,July,102475,35588996,0.287940126212046
Africa,Angola,2022,August,103022,35588996,0.2894771181519141
Africa,Angola,2022,September,103131,35588996,0.2897833925969701
Africa,Angola,2022,October,103598,35588996,0.29109559595331097
Africa,Angola,2022,November,104659,35588996,0.2940768545423422
Africa,Angola,2022,December,105070,35588996,0.2952317058902139
Africa,Angola,2023,January,105184,35588996,0.2955520296217404
Africa,Angola,2023,February,105255,35588996,0.2957515294896209
Africa,Angola,2023,March,105316,35588996,0.2959229307845605
Africa,Angola,2023,April,105384,35588996,0.2961140010805587
Africa,Angola,2023,May,105819,35588996,0.2973362890034886
Africa,Angola,2023,June,105904,35588996,0.29757512687348636
Africa,Angola,2023,July,105931,35588996,0.29765099302042686
Africa,Angola,2023,August,105937,35588996,0.2976678521641914
Africa,Angola,2023,September,105962,35588996,0.2977380985965437
Africa,Angola,2023,October,105976,35588996,0.29777743659866096
Africa,Angola,2023,November,106124,35588996,0.29819329547818657
Africa,Angola,2023,December,106928,35588996,0.3004524207426363
Africa,Angola,2024,January,107292,35588996,0.30147520879768563
Africa,Angola,2024,February,107326,35588996,0.3015707439456848
Africa,Angola,2024,March,107357,35588996,0.30165784952180164
Africa,Angola,2024,April,107394,35588996,0.301761814241683
Africa,Angola,2024,May,107454,35588996,0.30193040567932855
Africa,Angola,2024,June,107469,35588996,0.3019725535387399
Africa,Angola,2024,July,107469,35588996,0.3019725535387399
Africa,Benin,2020,January,NULL,13352864,NULL
Africa,Benin,2020,February,NULL,13352864,NULL
Africa,Benin,2020,March,3,13352864,0.00002246709020626586
Africa,Benin,2020,April,60,13352864,0.0004493418041253172
Africa,Benin,2020,May,239,13352864,0.0017898781864325135
Africa,Benin,2020,June,1149,13352864,0.008604895548999826
Africa,Benin,2020,July,1770,13352864,0.013255583221696858
Africa,Benin,2020,August,2145,13352864,0.016063969497480093
Africa,Benin,2020,September,2325,13352864,0.017411994909856045
Africa,Benin,2020,October,2557,13352864,0.01914944988580727
Africa,Benin,2020,November,2974,13352864,0.022272375424478224
Africa,Benin,2020,December,3205,13352864,0.024002341370360693
Africa,Benin,2021,January,3786,13352864,0.02835346784030752
Africa,Benin,2021,February,5634,13352864,0.04219319540736729
Africa,Benin,2021,March,7100,13352864,0.05317211348816254
Africa,Benin,2021,April,7720,13352864,0.057815312130790816
Africa,Benin,2021,May,8058,13352864,0.060346604294030104
Africa,Benin,2021,June,8170,13352864,0.0611853756617307
Africa,Benin,2021,July,8324,13352864,0.062338686292319014
